gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,OnlineSecurity_bin,OnlineBackup_bin,DeviceProtection_bin,TechSupport_bin,StreamingTV_bin,StreamingMovies_bin,NumAddOnServices,HasSecuritySupport,HasStreaming,IsMonthToMonth,IsLongTermContract,IsAutoPayment,IsElectronicCheck,AvgChargePerMonth,ChargeGap,TenureGroup,TenureFlag_Short,HighMonthlyCharges,HighTotalCharges
Male,0,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,587.45,No,1,0,0,0,0,0,1,1,0,1,0,0,0,41.96071428571429,-61.89999999999998,13_24,0,0,0
Male,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,326.8,No,0,0,0,0,0,0,0,0,0,0,1,1,0,19.223529411764705,23.600000000000023,13_24,0,0,0
Male,0,Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,5681.1,No,0,0,1,0,1,1,3,0,1,0,1,1,0,96.28983050847458,-139.1999999999989,49_plus,0,1,1
Male,0,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes,0,1,1,0,1,1,4,0,1,1,0,1,0,100.726,-45.0,49_plus,0,1,1
Male,0,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,No,1,0,1,1,1,1,5,1,1,1,0,0,1,103.3096153846154,48.55000000000018,25_48,0,1,1
Female,0,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.15,No,1,1,1,1,1,1,6,1,1,0,1,1,0,112.78785714285713,80.89999999999964,49_plus,0,1,1
Female,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,1022.95,No,0,0,0,0,0,0,0,0,0,0,1,0,0,19.300943396226415,-50.84999999999991,49_plus,0,0,0
Male,0,No,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,No,1,0,1,0,1,1,4,1,1,0,1,1,0,102.53125,-193.44999999999982,49_plus,0,1,1
Female,0,Yes,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,Yes,0,0,1,1,0,0,2,1,0,1,0,1,0,48.03181818181818,-23.649999999999977,0_12,1,0,0
Female,0,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,No,0,1,1,0,0,1,3,0,1,1,0,0,1,84.67727272727274,-28.149999999999864,13_24,0,1,1
Male,1,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,Yes,0,0,1,0,0,1,2,0,1,1,0,0,1,19.825,0.0,0_12,1,0,0
Male,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,202.25,No,0,0,0,0,0,0,0,0,0,0,1,1,0,15.557692307692308,-35.35000000000002,0_12,1,0,0
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,Yes,0,0,0,0,0,0,0,0,0,1,0,0,0,10.075,0.0,0_12,1,0,0
Female,0,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,3505.1,No,0,1,0,1,0,0,2,1,0,0,1,1,0,59.40847457627118,30.90000000000009,49_plus,0,0,1
Male,0,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,2970.3,No,1,1,0,1,0,0,3,1,0,1,0,1,0,59.406000000000006,49.90000000000009,49_plus,0,0,1
Female,0,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,No,1,1,0,0,0,0,2,1,0,1,0,1,0,49.37419354838709,-128.4000000000001,25_48,0,0,1
Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,Yes,0,1,0,0,1,1,3,0,1,1,0,0,1,98.940625,79.69999999999982,25_48,0,1,1
Male,0,Yes,Yes,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,Yes,0,1,0,0,0,0,1,0,0,1,0,0,1,15.1,0.0,0_12,1,0,0
Male,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,No,1,1,1,1,1,1,6,1,1,0,1,1,0,87.2527397260274,-128.55000000000018,49_plus,0,1,1
Female,0,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,Yes,0,0,0,0,1,1,2,0,1,1,0,0,0,60.727777777777774,-6.800000000000182,13_24,0,0,0
Female,1,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,No,1,1,1,1,0,0,4,1,0,0,1,1,0,93.98541666666667,-73.89999999999964,49_plus,0,1,1
Male,1,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,No,0,0,1,0,1,1,3,0,1,1,0,1,0,60.550000000000004,-9.349999999999994,0_12,1,1,0
Female,0,Yes,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,1874.45,No,1,1,1,1,0,0,4,1,0,0,1,0,0,66.94464285714285,88.39999999999986,25_48,0,0,1
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,20.2,No,0,0,0,0,0,0,0,0,0,1,0,1,0,10.1,0.0,0_12,1,0,0
Male,1,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,No,0,0,0,0,0,0,0,0,0,1,0,1,0,22.625,0.0,0_12,1,0,0
Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,7251.7,No,1,1,0,1,1,0,4,1,1,0,1,1,0,99.33835616438355,58.899999999999636,49_plus,0,1,1
Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,Yes,0,0,0,0,0,0,0,0,0,1,0,0,1,52.81666666666666,-31.600000000000023,0_12,1,0,0
Female,0,No,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,No,0,0,1,0,0,0,1,0,0,1,0,1,0,75.49574468085106,107.50000000000045,25_48,0,1,1
Male,0,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,Yes,0,1,1,0,1,1,4,0,1,1,0,0,1,101.40714285714286,-66.64999999999964,25_48,0,1,1
Female,0,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Yes,0,0,1,0,1,1,3,0,1,1,0,1,0,92.11666666666667,29.050000000000182,0_12,1,1,0
Male,0,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,49.55,475.7,No,0,1,0,0,0,0,1,0,0,0,1,0,0,43.24545454545454,-19.80000000000001,0_12,1,0,0
Female,0,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,4872.35,No,1,1,0,0,1,0,3,1,1,0,1,1,0,68.62464788732395,28.350000000000364,49_plus,0,0,1
Female,0,Yes,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.75,418.25,No,0,0,0,0,0,0,0,0,0,0,1,0,0,23.23611111111111,65.5,13_24,0,0,0
Female,0,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,4861.45,No,1,1,1,1,1,0,5,1,1,0,1,1,0,75.96015625,-169.09999999999945,49_plus,0,1,1
Female,0,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,981.45,No,1,1,0,1,1,0,4,1,1,1,0,0,1,70.10357142857143,-9.149999999999977,13_24,0,1,0
Female,0,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,No,0,0,0,0,0,1,1,0,1,1,0,0,1,78.134,-233.80000000000018,49_plus,0,1,1
Male,0,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,97.0,No,0,1,0,0,0,0,1,0,0,1,0,0,0,32.333333333333336,-1.5,0_12,1,0,0
Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,Yes,0,0,0,0,1,0,1,0,1,1,0,0,1,48.050000000000004,-17.150000000000006,0_12,1,1,0
Male,0,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,No,1,0,0,1,1,1,4,1,1,0,1,1,0,79.5811320754717,70.80000000000018,49_plus,0,1,1
Female,0,Yes,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,4254.1,No,1,0,1,1,0,0,3,1,0,0,1,1,0,60.77285714285715,-172.25,49_plus,0,0,1
Female,1,No,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,3838.75,No,0,1,0,0,1,0,2,0,1,1,0,0,1,87.24431818181819,-42.0,25_48,0,1,1
Female,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Yes,1,1,0,0,1,1,4,1,1,1,0,1,0,89.15,-60.09999999999991,13_24,0,1,1
Female,1,Yes,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,No,1,0,0,1,1,0,3,1,1,1,0,1,0,67.40961538461539,15.150000000000091,25_48,0,0,1
Female,1,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Yes,0,1,0,0,0,0,1,0,0,1,0,1,0,70.36666666666666,-11.900000000000091,0_12,1,1,0
Female,1,Yes,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,No,1,1,1,1,0,1,5,1,1,0,1,1,0,73.05491803278689,-34.649999999999636,49_plus,0,1,1
Male,1,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,Yes,0,0,0,0,1,1,2,0,1,1,0,0,1,92.23947368421052,34.44999999999982,13_24,0,1,1
Female,0,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,No,1,0,0,0,1,1,3,1,1,0,1,1,0,98.6125,33.24999999999909,49_plus,0,1,1
Male,1,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,7076.35,No,0,1,1,1,1,1,5,1,1,0,1,0,1,105.61716417910448,-81.34999999999945,49_plus,0,1,1
Female,0,Yes,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,894.3,No,0,0,0,0,0,0,0,0,0,0,1,1,0,25.55142857142857,46.0,25_48,0,0,0
Female,0,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,No,0,0,1,1,1,1,4,1,1,0,1,1,0,107.58493150684932,113.69999999999982,49_plus,0,1,1
Female,0,Yes,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,No,0,0,1,0,1,1,3,0,1,1,0,0,1,98.06458333333335,-16.399999999999636,25_48,0,1,1
Male,0,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,No,0,1,0,0,1,0,2,0,1,1,0,1,0,89.35573770491803,56.69999999999982,49_plus,0,1,1
Male,0,Yes,No,72,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,2962.0,No,1,1,1,0,0,0,3,1,0,0,1,1,0,40.57534246575342,-69.20000000000027,49_plus,0,0,1
Female,0,Yes,Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,957.1,No,0,0,1,1,0,0,2,1,0,0,1,1,0,50.373684210526314,-22.09999999999991,13_24,0,0,0
Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,Yes,0,0,0,0,1,1,2,0,1,1,0,0,1,85.725,7.649999999999977,0_12,1,1,0
Female,0,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,No,0,1,0,1,1,1,4,1,1,1,0,0,1,61.025,18.200000000000017,0_12,1,1,0
Male,0,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,3650.35,No,0,1,0,0,0,0,1,0,0,0,1,0,1,76.04895833333333,-57.95000000000027,25_48,0,1,1
Female,0,No,No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,2497.2,No,0,1,1,1,1,1,5,1,1,0,1,0,0,78.0375,41.999999999999545,25_48,0,1,1
Female,0,Yes,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.15,930.9,No,0,0,0,0,0,0,0,0,0,0,1,1,0,18.25294117647059,-76.59999999999991,49_plus,0,0,0
Male,0,No,No,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.85,887.35,No,1,0,1,0,0,0,2,1,0,1,0,0,0,80.66818181818182,88.85000000000002,0_12,1,1,0
Male,0,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,49.05,No,0,0,0,1,0,0,1,1,0,1,0,0,0,24.525,0.0,0_12,1,0,0
Female,0,Yes,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,1090.65,No,0,0,0,0,0,0,0,0,0,0,1,0,1,20.578301886792456,29.850000000000136,49_plus,0,0,0
Male,1,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099.0,No,1,0,1,1,1,1,5,1,1,0,1,1,0,109.21538461538462,-43.399999999999636,49_plus,0,1,1
Male,0,Yes,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.25,1424.6,No,0,0,0,0,0,0,0,0,0,0,1,1,0,22.61269841269841,-78.90000000000009,49_plus,0,0,1
Female,0,No,Yes,3,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,No,1,0,0,1,0,1,3,1,1,1,0,1,0,44.35,-16.099999999999994,0_12,1,0,0
Female,1,No,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.5,6139.5,No,1,1,1,0,1,1,5,1,1,0,1,0,1,107.71052631578948,-48.5,49_plus,0,1,1
Female,0,No,No,46,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,2688.85,No,0,0,0,0,0,1,1,0,1,0,1,1,0,57.2095744680851,128.94999999999982,25_48,0,0,1
Female,0,Yes,Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.65,482.25,No,1,1,0,0,0,0,2,1,0,1,0,0,0,53.583333333333336,45.05000000000001,0_12,1,0,0
Male,1,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,No,1,1,0,0,1,1,4,1,1,1,0,0,1,68.10645161290323,-131.19999999999982,25_48,0,1,1
Female,0,Yes,Yes,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.9,1216.6,No,0,0,0,0,0,0,0,0,0,0,1,1,0,26.44782608695652,51.09999999999991,25_48,0,0,0
Female,0,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,Yes,0,0,0,0,1,0,1,0,1,1,0,0,1,39.675,0.0,0_12,1,1,0
Female,0,Yes,Yes,11,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.55,565.35,No,1,0,0,0,1,1,3,1,1,1,0,0,1,47.112500000000004,9.300000000000068,0_12,1,0,0
Female,0,Yes,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,Yes,0,0,1,0,0,0,1,0,0,1,0,1,0,62.1125,-29.15000000000009,0_12,1,1,0
Female,0,No,No,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,No,0,1,1,1,1,1,5,1,1,1,0,1,0,100.63953488372093,-32.099999999999454,25_48,0,1,1
Female,0,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.15,973.35,No,0,0,0,0,0,0,0,0,0,0,1,1,0,19.467,-13.999999999999886,49_plus,0,0,0
Male,0,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,No,0,1,0,0,1,1,3,0,1,1,0,1,0,91.875,25.050000000000068,0_12,1,1,0
Female,0,Yes,No,35,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.15,2215.45,No,1,0,0,0,1,0,2,1,1,0,1,1,0,61.540277777777774,40.19999999999982,25_48,0,0,1
Female,0,Yes,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.65,1057.0,No,0,0,0,0,0,0,0,0,0,0,1,1,0,21.571428571428573,65.80000000000007,25_48,0,0,0
Female,0,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.95,927.1,No,0,0,0,0,0,0,0,0,0,0,1,0,0,19.72553191489362,9.400000000000091,25_48,0,0,0
Male,0,Yes,No,29,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,33.75,1009.25,No,0,0,0,0,1,0,1,0,1,1,0,0,0,33.641666666666666,30.5,25_48,0,0,0
Male,0,Yes,Yes,30,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,No,0,1,1,0,0,0,2,0,0,1,0,1,0,82.90967741935484,108.69999999999982,25_48,0,1,1
Male,1,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.7,74.7,No,0,0,0,1,0,0,1,1,0,1,0,0,1,37.35,0.0,0_12,1,1,0
Male,0,Yes,Yes,66,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,84.0,5714.25,No,1,0,1,1,1,1,5,1,1,0,1,0,0,85.28731343283582,170.25,49_plus,0,1,1
Female,0,No,No,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.05,7107.0,No,1,1,1,0,1,1,5,1,1,1,0,1,0,107.68181818181819,-111.25,49_plus,0,1,1
Male,0,No,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),100.9,7459.05,No,0,1,1,0,1,1,4,0,1,0,1,1,0,102.17876712328767,194.25,49_plus,0,1,1
Female,0,No,No,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,Yes,1,0,0,0,0,0,1,1,0,1,0,0,1,71.33461538461539,-20.050000000000068,0_12,1,1,0
Male,0,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),66.85,4748.7,No,1,1,0,1,0,0,3,1,0,0,1,1,0,65.95416666666667,2.350000000000364,49_plus,0,0,1
Male,0,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,113.85,Yes,0,0,0,0,0,0,0,0,0,1,0,0,0,18.974999999999998,8.599999999999994,0_12,1,0,0
Male,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),21.0,1107.2,No,0,0,0,0,0,0,0,0,0,0,1,1,0,20.89056603773585,15.200000000000045,49_plus,0,0,0
Female,1,Yes,No,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,Yes,0,1,1,0,1,1,4,0,1,1,0,0,1,96.71153846153847,52.0,25_48,0,1,1
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.2,20.2,No,0,0,0,0,0,0,0,0,0,1,0,0,0,10.1,0.0,0_12,1,0,0
Female,0,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.45,19.45,No,0,0,0,0,0,0,0,0,0,1,0,0,1,9.725,0.0,0_12,1,0,0
Male,0,No,No,38,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),95.0,3605.6,No,0,0,1,1,1,0,3,1,1,0,1,1,0,92.45128205128205,-4.400000000000091,25_48,0,1,1
Female,1,Yes,No,66,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),45.55,3027.25,No,0,1,1,0,1,0,3,0,1,0,1,1,0,45.18283582089552,20.950000000000273,49_plus,0,0,1
Male,0,Yes,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.0,7611.85,Yes,0,1,1,1,1,1,5,1,1,0,1,1,0,110.31666666666668,131.85000000000036,49_plus,0,1,1
Male,0,No,No,5,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,24.3,100.2,No,0,0,0,0,0,0,0,0,0,1,0,0,0,16.7,-21.299999999999997,0_12,1,0,0
Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,104.15,7303.05,No,1,1,0,0,1,1,4,1,1,0,1,0,1,100.04178082191781,-195.75,49_plus,0,1,1
Female,0,No,No,32,No,No phone service,DSL,Yes,No,No,No,No,No,One year,No,Mailed check,30.15,927.65,No,1,0,0,0,0,0,1,1,0,0,1,0,0,28.11060606060606,-37.14999999999998,25_48,0,0,0
