gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,OnlineSecurity_bin,OnlineBackup_bin,DeviceProtection_bin,TechSupport_bin,StreamingTV_bin,StreamingMovies_bin,NumAddOnServices,HasSecuritySupport,HasStreaming,IsMonthToMonth,IsLongTermContract,IsAutoPayment,IsElectronicCheck,AvgChargePerMonth,ChargeGap,TenureGroup,MonthlyCharges_IsMonthToMonth,MonthlyCharges_SeniorCitizen,Tenure_MonthlyCharges
Female,0,No,No,57,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,One year,No,Electronic check,94.7,5468.95,0,1,0,1,0,1,3,1,1,0,1,0,1,94.29224137931034,71.04999999999927,49_plus,0.0,0.0,5397.900000000001
Female,0,Yes,No,72,No,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,54.2,3937.45,0,1,1,0,1,1,4,0,1,0,1,0,1,53.93767123287671,35.04999999999973,49_plus,0.0,0.0,3902.4
Female,0,No,No,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,0,1,1,1,1,1,5,1,1,1,0,1,0,100.63953488372093,-32.099999999999454,25_48,103.8,0.0,4359.599999999999
Female,0,Yes,Yes,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.8,272.95,0,0,0,0,0,0,0,0,0,1,0,0,0,17.059375,-24.05000000000001,13_24,19.8,0.0,297.0
Male,0,Yes,Yes,64,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,81.05,5135.35,1,1,0,0,0,0,2,1,0,1,0,0,1,79.00538461538463,-51.849999999999454,49_plus,81.05,0.0,5187.2
Male,1,Yes,Yes,47,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,One year,Yes,Bank transfer (automatic),84.95,4018.05,0,1,0,0,1,0,2,0,1,0,1,1,0,83.70937500000001,25.40000000000009,25_48,0.0,84.95,3992.65
Female,0,Yes,Yes,2,No,No phone service,DSL,No,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),29.05,44.75,0,0,0,1,0,0,1,1,0,1,0,1,0,14.916666666666666,-13.350000000000001,0_12,29.05,0.0,58.1
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.2,20.2,0,0,0,0,0,0,0,0,0,1,0,0,0,10.1,0.0,0_12,20.2,0.0,20.2
Male,0,No,No,1,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,50.7,50.7,1,0,0,0,0,0,1,1,0,1,0,0,0,25.35,0.0,0_12,50.7,0.0,50.7
Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),113.1,8248.5,1,1,1,1,1,1,6,1,1,0,1,1,0,112.9931506849315,105.30000000000018,49_plus,0.0,0.0,8143.2
Female,0,Yes,Yes,32,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Electronic check,89.6,2901.8,1,0,0,0,1,0,2,1,1,1,0,0,1,87.93333333333334,34.600000000000364,25_48,89.6,0.0,2867.2
Female,1,Yes,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.45,74.45,0,0,0,0,0,0,0,0,0,1,0,0,1,37.225,0.0,0_12,74.45,74.45,74.45
Female,0,Yes,No,71,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),47.6,3377.8,1,1,1,1,0,0,4,1,0,0,1,1,0,46.91388888888889,-1.7999999999997272,49_plus,0.0,0.0,3379.6
Male,0,Yes,Yes,15,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,75.1,1151.55,1,0,0,0,0,0,1,1,0,1,0,0,0,71.971875,25.049999999999955,13_24,75.1,0.0,1126.5
Male,0,Yes,No,47,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),95.2,4563.0,0,0,0,0,1,1,2,0,1,0,1,1,0,95.0625,88.59999999999945,25_48,0.0,0.0,4474.400000000001
Male,0,Yes,Yes,34,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.7,3410.0,0,1,0,0,1,1,3,0,1,1,0,1,0,97.42857142857143,88.19999999999982,25_48,97.7,0.0,3321.8
Male,0,Yes,Yes,50,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.85,5017.9,0,1,1,0,1,1,4,0,1,1,0,1,0,98.39019607843136,-174.60000000000036,49_plus,103.85,0.0,5192.5
Male,0,No,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),20.0,198.7,0,0,0,0,0,0,0,0,0,1,0,1,0,18.063636363636363,-1.3000000000000114,0_12,20.0,0.0,200.0
Female,1,No,No,8,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,92.1,729.95,0,0,1,0,1,1,3,0,1,1,0,0,1,81.10555555555555,-6.849999999999909,0_12,92.1,92.1,736.8
Male,0,Yes,Yes,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.65,436.9,0,0,0,0,0,0,0,0,0,0,1,0,0,18.204166666666666,-15.050000000000011,13_24,0.0,0.0,451.95
Male,0,No,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,74.9,490.55,0,0,1,0,0,0,1,0,0,1,0,0,1,61.31875,-33.75000000000006,0_12,74.9,0.0,524.3000000000001
Male,0,Yes,No,23,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,84.25,1968.1,0,1,1,0,0,0,2,0,0,1,0,0,1,82.00416666666666,30.34999999999991,13_24,84.25,0.0,1937.75
Female,0,Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),90.95,6652.45,1,1,1,1,1,1,6,1,1,0,1,1,0,91.12945205479451,104.04999999999927,49_plus,0.0,0.0,6548.400000000001
Female,0,No,No,30,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,85.15,2555.9,0,0,0,1,1,0,2,1,1,1,0,0,1,82.4483870967742,1.400000000000091,25_48,85.15,0.0,2554.5
Female,1,Yes,No,31,No,No phone service,DSL,Yes,Yes,Yes,No,No,Yes,One year,Yes,Credit card (automatic),50.4,1580.1,1,1,1,0,0,1,4,1,1,0,1,1,0,49.378125,17.700000000000045,25_48,0.0,50.4,1562.3999999999999
Male,0,No,No,3,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,107.95,313.6,0,1,1,0,1,1,4,0,1,1,0,0,0,78.4,-10.25,0_12,107.95,0.0,323.85
Female,1,No,No,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.3,459.95,0,0,0,0,0,0,0,0,0,1,0,0,0,18.398,-27.250000000000057,13_24,20.3,20.3,487.20000000000005
Male,0,No,No,62,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,One year,Yes,Credit card (automatic),74.3,4698.05,1,1,0,0,1,1,4,1,1,0,1,1,0,74.57222222222222,91.45000000000073,49_plus,0.0,0.0,4606.599999999999
Male,0,Yes,Yes,37,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),40.2,1448.8,1,1,1,0,0,0,3,1,0,1,0,1,0,38.126315789473686,-38.600000000000136,25_48,40.2,0.0,1487.4
Female,0,No,No,62,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),19.2,1123.65,0,0,0,0,0,0,0,0,0,0,1,1,0,17.835714285714285,-66.74999999999977,49_plus,0.0,0.0,1190.3999999999999
Male,0,No,No,11,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,73.5,791.75,1,0,0,0,0,0,1,1,0,1,0,0,1,65.97916666666667,-16.75,0_12,73.5,0.0,808.5
Female,0,No,No,10,No,No phone service,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,36.25,374.0,0,1,0,1,0,0,2,1,0,1,0,0,1,34.0,11.5,0_12,36.25,0.0,362.5
Female,0,No,No,37,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),101.9,3545.35,0,1,1,0,1,1,4,0,1,1,0,1,0,93.29868421052632,-224.95000000000027,25_48,101.9,0.0,3770.3
Male,1,No,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),25.1,1789.9,0,0,0,0,0,0,0,0,0,0,1,1,0,24.519178082191782,-17.299999999999955,49_plus,0.0,25.1,1807.2
Male,0,No,No,19,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,84.75,1651.95,1,0,1,0,0,0,2,1,0,1,0,0,1,82.5975,41.700000000000045,13_24,84.75,0.0,1610.25
Female,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.6,19.6,0,0,0,0,0,0,0,0,0,1,0,0,0,9.8,0.0,0_12,19.6,0.0,19.6
Female,0,Yes,No,23,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),73.65,1642.75,0,0,0,1,1,1,3,1,1,1,0,1,0,68.44791666666667,-51.200000000000045,13_24,73.65,0.0,1693.95
Female,1,Yes,No,43,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,109.55,4830.25,1,0,1,1,1,1,5,1,1,0,1,0,0,109.7784090909091,119.60000000000036,25_48,0.0,109.55,4710.65
Male,0,No,No,46,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Credit card (automatic),94.9,4422.95,0,1,1,0,1,0,3,0,1,0,1,1,0,94.10531914893616,57.54999999999927,25_48,0.0,0.0,4365.400000000001
Male,0,No,Yes,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.4,184.1,0,0,0,0,0,0,0,0,0,1,0,0,0,18.41,0.5,0_12,20.4,0.0,183.6
Female,0,Yes,Yes,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.7,494.05,0,0,0,0,0,0,0,0,0,0,1,0,0,19.762,21.250000000000057,13_24,0.0,0.0,472.79999999999995
Female,1,No,No,8,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),100.15,908.55,0,0,0,1,1,1,3,1,1,1,0,1,0,100.94999999999999,107.34999999999991,0_12,100.15,100.15,801.2
Female,0,Yes,Yes,10,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,85.95,858.6,0,0,0,0,0,1,1,0,1,1,0,0,1,78.05454545454546,-0.8999999999999773,0_12,85.95,0.0,859.5
Male,0,Yes,Yes,71,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),70.85,4973.4,1,0,1,1,0,1,4,1,1,0,1,1,0,69.07499999999999,-56.94999999999982,49_plus,0.0,0.0,5030.349999999999
Female,0,Yes,Yes,5,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,30.5,167.2,0,1,0,0,0,0,1,0,0,1,0,0,1,27.866666666666664,14.699999999999989,0_12,30.5,0.0,152.5
Male,1,Yes,No,41,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),83.75,3273.55,1,0,1,0,0,0,2,1,0,1,0,1,0,77.94166666666668,-160.19999999999982,25_48,83.75,83.75,3433.75
Male,0,Yes,Yes,58,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Credit card (automatic),71.6,4230.25,1,1,1,1,0,0,4,1,0,0,1,1,0,71.69915254237289,77.45000000000073,49_plus,0.0,0.0,4152.799999999999
Female,0,No,No,3,Yes,No,DSL,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,69.95,220.45,0,0,1,0,1,1,3,0,1,0,1,0,1,55.1125,10.599999999999966,0_12,0.0,0.0,209.85000000000002
Male,0,Yes,Yes,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),19.4,1284.2,0,0,0,0,0,0,0,0,0,0,1,1,0,18.88529411764706,-15.599999999999909,49_plus,0.0,0.0,1299.8
Female,0,No,No,13,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),30.85,394.1,1,0,0,0,0,0,1,1,0,1,0,1,0,28.150000000000002,-6.949999999999989,13_24,30.85,0.0,401.05
Male,0,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.2,20.2,0,0,0,0,0,0,0,0,0,0,1,0,1,10.1,0.0,0_12,0.0,0.0,20.2
Male,0,Yes,Yes,71,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),100.2,7209.0,1,1,1,1,1,0,5,1,1,0,1,1,0,100.125,94.80000000000018,49_plus,0.0,0.0,7114.2
Male,0,No,No,8,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),54.75,438.05,0,0,0,0,0,1,1,0,1,1,0,1,0,48.672222222222224,0.05000000000001137,0_12,54.75,0.0,438.0
Male,0,No,No,28,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,One year,Yes,Bank transfer (automatic),91.25,2483.65,0,1,0,1,1,0,3,1,1,0,1,1,0,85.64310344827587,-71.34999999999991,25_48,0.0,0.0,2555.0
Female,0,Yes,No,71,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,23.85,1672.1,0,0,0,0,0,0,0,0,0,0,1,0,0,23.22361111111111,-21.250000000000227,49_plus,0.0,0.0,1693.3500000000001
Male,0,No,No,67,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),118.35,7804.15,1,1,1,1,1,1,6,1,1,0,1,1,0,114.76691176470588,-125.30000000000018,49_plus,0.0,0.0,7929.45
Male,0,Yes,Yes,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),89.4,5597.65,1,1,1,1,1,1,6,1,1,0,1,1,0,87.46328125,-34.55000000000109,49_plus,0.0,0.0,5632.200000000001
Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.6,415.55,0,0,0,0,1,0,1,0,1,1,0,0,1,69.25833333333334,12.550000000000011,0_12,80.6,0.0,403.0
Female,0,No,No,37,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),78.9,2976.95,1,1,1,1,1,0,5,1,1,1,0,1,0,78.34078947368421,57.649999999999636,25_48,78.9,0.0,2919.3
Female,0,Yes,No,53,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),111.8,5809.75,0,1,1,1,1,1,5,1,1,0,1,1,0,107.58796296296296,-115.64999999999964,49_plus,0.0,0.0,5925.4
Female,0,No,Yes,12,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,44.55,480.6,0,0,0,0,0,0,0,0,0,1,0,0,1,36.96923076923077,-53.999999999999886,0_12,44.55,0.0,534.5999999999999
Female,0,No,No,70,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.7,1341.5,0,0,0,0,0,0,0,0,0,0,1,1,0,18.8943661971831,-37.5,49_plus,0.0,0.0,1379.0
Male,0,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,229.55,0,0,0,0,0,0,0,0,0,1,0,0,1,57.3875,6.349999999999994,0_12,74.4,0.0,223.20000000000002
Male,0,Yes,No,14,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,82.65,1185.0,0,1,1,0,0,0,2,0,0,1,0,0,1,79.0,27.899999999999864,13_24,82.65,0.0,1157.1000000000001
Female,0,No,No,61,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Credit card (automatic),43.7,2696.55,1,1,1,1,0,0,4,1,0,0,1,1,0,43.49274193548387,30.84999999999991,49_plus,0.0,0.0,2665.7000000000003
Male,0,No,No,4,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,88.45,370.65,0,0,0,0,1,1,2,0,1,1,0,0,1,74.13,16.849999999999966,0_12,88.45,0.0,353.8
Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,90.6,90.6,0,0,0,0,1,1,2,0,1,1,0,0,1,45.3,0.0,0_12,90.6,0.0,90.6
Female,1,No,No,10,No,No phone service,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,29.65,291.4,0,0,0,1,0,0,1,1,0,1,0,0,1,26.49090909090909,-5.100000000000023,0_12,29.65,29.65,296.5
Male,0,No,Yes,23,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1284.2,0,1,0,1,0,0,2,1,0,1,0,1,0,53.50833333333333,12.300000000000182,13_24,55.3,0.0,1271.8999999999999
Male,0,No,Yes,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.6,581.85,0,0,0,0,0,0,0,0,0,0,1,0,0,20.780357142857145,25.649999999999977,25_48,0.0,0.0,556.2
Female,1,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,No,Bank transfer (automatic),78.45,5682.25,1,1,1,1,0,1,5,1,1,0,1,1,0,77.83904109589041,33.849999999999454,49_plus,0.0,78.45,5648.400000000001
Male,0,Yes,Yes,66,No,No phone service,DSL,No,No,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),50.55,3364.55,0,0,0,1,1,1,3,1,1,0,1,1,0,50.21716417910448,28.250000000000455,49_plus,0.0,0.0,3336.2999999999997
Male,0,Yes,Yes,35,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,109.95,3782.4,0,1,1,1,1,1,5,1,1,1,0,0,1,105.06666666666666,-65.84999999999991,25_48,109.95,0.0,3848.25
Female,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,45.3,45.3,0,0,0,0,0,0,0,0,0,1,0,0,0,22.65,0.0,0_12,45.3,0.0,45.3
Male,1,No,No,12,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),73.3,828.05,0,0,0,0,0,0,0,0,0,1,0,1,0,63.69615384615384,-51.549999999999955,0_12,73.3,73.3,879.5999999999999
Male,0,No,No,26,No,No phone service,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),44.65,1156.55,1,1,0,0,0,1,3,1,1,1,0,1,0,42.83518518518518,-4.349999999999909,25_48,44.65,0.0,1160.8999999999999
Female,0,No,No,18,No,No phone service,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,35.2,607.3,0,0,1,1,0,0,2,1,0,1,0,0,1,31.963157894736838,-26.300000000000068,13_24,35.2,0.0,633.6
Male,0,Yes,No,3,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),29.8,94.4,0,1,0,0,0,0,1,0,0,1,0,1,0,23.6,5.0,0_12,29.8,0.0,89.4
Female,0,No,No,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,20.55,1343.4,0,0,0,0,0,0,0,0,0,0,1,0,1,19.75588235294118,-33.450000000000045,49_plus,0.0,0.0,1376.8500000000001
Female,0,Yes,Yes,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.3,224.5,0,0,0,0,0,0,0,0,0,0,1,1,0,17.26923076923077,-19.100000000000023,0_12,0.0,0.0,243.60000000000002
Female,1,Yes,No,32,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),85.95,2628.6,0,0,0,0,1,0,1,0,1,1,0,1,0,79.65454545454546,-121.80000000000018,25_48,85.95,85.95,2750.4
Male,1,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.05,746.5,0,0,0,0,0,1,1,0,1,1,0,0,1,74.65,-18.949999999999932,0_12,85.05,85.05,765.4499999999999
Male,1,Yes,Yes,52,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,80.85,4079.55,0,1,1,0,1,1,4,0,1,0,1,0,1,76.97264150943397,-124.64999999999964,49_plus,0.0,80.85,4204.2
Female,0,No,No,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),20.05,337.9,0,0,0,0,0,0,0,0,0,0,1,1,0,18.772222222222222,-2.9500000000000455,13_24,0.0,0.0,340.85
